ID,Crime Head,Cases Pending Investigation From Previous Year,Cases Reported During The Year,Cases Reopened For Investigation,Total Cases For Investigation,Cases Not Investigated Under 157_1_B Crpc,Cases Transferred To Other State Or Agency,Cases Withdrawn By The Govt During Investigation,Final Report - Cases Ended As Fr Non Cognizable,Final Report - Cases Ended As Final Report False,Final Report - Cases Ended As Mistake Of Fact Or Of Law Or Civil Dispute,Final Report - Cases True But Insufficient Evidence Or Untraced Or No Clue,Final Report - Cases Abated During Investigation,Final Report,Charge Sheets Submitted Prev. Year,Charge Sheets Submitted The Year,Charge Sheets Submitted - Cases Charge Sheeted,Total Cases Disposed Off By Police,Cases Quashed At Investigation Stage,Cases Stayed At Investigation Stage,Cases Pending Invsgn.At End Of The Year,Chargesheeting Rate,Pendency Percentage
1,Murder,22198,29272,70,51540,3,81,0,6,933,1051,2808,212,5010,8831,17551,26382,31476,0,154,20064,83.8,38.9
2,Culpable Homicide not amounting to Murder,1810,3807,33,5650,0,5,0,1,110,100,244,30,485,1014,2333,3347,3837,3,9,1810,87.2,32
3,Hit and Run,13564,43499,11,57074,3,16,0,60,223,1304,11824,577,13988,5552,24800,30352,44359,0,0,12715,68.4,22.3
4,Other Accidents,39566,93931,228,133725,13,28,0,46,944,1927,10645,5973,19535,21644,52810,74454,94030,3,4,39692,79.2,29.7
5,Deaths due to Negligence relating to Rail Accidents,114,40,0,154,0,0,0,0,0,0,69,0,69,2,3,5,74,0,0,80,6.8,51.9
6,Deaths due to Medical Negligence,140,142,0,282,0,0,0,0,22,34,22,2,80,35,44,79,159,0,0,123,49.7,43.6
7,Deaths due to Negligence of Civic Bodies,75,86,0,161,0,0,0,0,12,4,5,0,21,36,32,68,89,0,0,72,76.4,44.7
8,Deaths due to other Negligence,4862,8497,9,13368,1,1,0,128,306,263,1096,239,2032,1756,4762,6518,8552,5,4,4811,76.2,36
9,Dowry Deaths,3692,6753,5,10450,0,2,0,5,199,202,330,4,740,1893,4316,6209,6951,0,0,3499,89.3,33.5
10,Abetment of Suicide,6049,9361,35,15445,0,8,0,11,625,242,451,24,1353,2909,4897,7806,9167,16,22,6262,85.2,40.5
11,Attempt to Commit Murder,36422,55672,13,92107,1,36,3,69,1085,1190,1865,46,4255,18654,34366,53020,57312,29,35,34763,92.5,37.7
12,Attempt to commit Culpable Homicide,3997,8428,2,12427,1,0,0,32,104,68,250,8,462,1868,6105,7973,8436,25,0,3966,94.5,31.9
13,Attempt to Commit Suicide,1364,1863,4,3231,0,0,3,0,217,72,99,12,400,517,879,1396,1796,1,0,1431,77.7,44.3
14,"Miscarriage, Infanticide, Foeticide and Abandonment",1038,1529,0,2567,0,2,0,0,55,57,1049,3,1164,141,305,446,1612,0,2,955,27.7,37.2
15,Voluntarily Causing Simple Hurt,98094,292772,25,390891,4,48,0,2669,10413,15169,11771,245,40267,41479,216430,257909,298228,39,23,92624,86.5,23.7
16,Voluntarily causing hurt by Dangerous weapons or means,77564,173118,18,250700,10,24,0,633,3277,4494,5484,151,14039,43749,114004,157753,171826,64,16,78810,91.8,31.4
17,Voluntarily Causing hurt/Force to deter public servant from his duty,7795,14680,6,22481,0,2,0,23,512,309,442,13,1299,4326,9378,13704,15005,17,15,7459,91.3,33.2
18,Causing Hurt by act endangering life/safety of others,3982,7401,2,11385,0,1,0,7,122,119,824,17,1089,1441,5167,6608,7698,5,2,3682,85.8,32.3
19,Other Simple Hurt,3562,7638,0,11200,0,10,0,20,67,230,774,4,1095,861,5177,6038,7143,2,3,4055,84.5,36.2
20,Voluntarily causing grievous hurt,29918,64312,24,94254,1,11,2,139,792,3942,3730,140,8743,14112,47574,61686,70441,13,2,23798,87.6,25.2
21,Voluntarily causing grievous hurt by dangerous weapons or means,11871,20292,50,32213,2,12,0,32,225,721,1043,113,2134,4801,13473,18274,20422,24,4,11767,89.5,36.5
22,Acid Attack,106,176,0,282,0,0,0,1,9,7,13,0,30,45,113,158,188,0,1,94,84,33.3
23,Attempt to Acid Attack,60,73,0,133,0,0,0,1,2,1,7,0,11,21,42,63,74,0,1,59,85.1,44.4
24,Voluntarily Causing Grievous hurt/Force to deter public servant from his duty,828,1677,2,2507,0,1,0,1,32,47,109,1,190,454,1075,1529,1720,1,7,786,88.9,31.4
25,Causing Grievous Hurt by act endangering life/safety of others,1736,2627,1,4364,1,0,0,3,188,25,256,3,475,597,1959,2556,3032,0,0,1332,84.3,30.5
26,Other Grievous Hurt,966,1008,0,1974,0,0,0,25,28,65,181,0,299,155,561,716,1015,0,0,959,70.5,48.6
27,Wrongful Restraint/Confinement,6281,23081,3,29365,0,5,0,21,9681,541,1763,12,12018,2461,8071,10532,22555,8,8,6802,46.7,23.2
28,Assault on Women with Intent to Outrage her Modesty,18093,49761,9,67863,0,34,0,129,4428,2045,1858,34,8494,9698,33481,43179,51707,25,29,16131,83.5,23.8
29,at Work or Office Premises,214,418,0,632,0,1,0,0,35,14,17,0,66,106,247,353,420,0,3,212,84,33.5
30,In Public Transport System,191,357,1,549,0,4,0,0,20,2,26,0,48,106,260,366,418,1,0,130,87.6,23.7
